x,y,z,fault
-0.402026946,-0.058965455,0,1
0.548218563,0.22148,0,1
0.931565469,0.044172727,0,1
-0.218881337,-0.017669091,0,1
-1.079787525,0.18758,0,1
0.378067764,-0.196414545,0,1
1.610950399,-0.014176364,0,1
-0.186800399,0.226821818,0,1
-1.645873952,0.113,0,1
0.019492216,0.17854,0,1
1.530951098,-0.016230909,0,1
0.098679341,0.257229091,0,1
-1.433083932,-0.143407273,0,1
-0.30619022,0.034927273,0,1
1.009940419,0.245723636,0,1
0.299692814,-0.305921818,0,1
-0.771566866,0.098207273,0,1
-0.355326846,0.080743636,0,1
0.445884431,-0.262570909,0,1
0.346392914,-0.06554,0,1
-0.124668962,0.389952727,0,1
-0.232688323,0.017258182,0,1
0.041827046,0.029790909,0,1
0.217663074,0.315578182,0,1
0.03736008,-0.24182,0,1
-0.237561377,-0.115670909,0,1
-0.034111377,-0.074990909,0,1
0.274109281,-0.090605455,0,1
-0.045481836,-0.012738182,0,1
-0.356139022,-0.044583636,0,1
0.147003792,0.069443636,0,1
0.53197505,0.007396364,0,1
-0.063755788,0.21696,0,1
-0.559589022,-0.046432727,0,1
-0.045887924,0.121218182,0,1
0.534005489,0.249010909,0,1
0.006903493,-0.130463636,0,1
-0.587202994,-0.069238182,0,1
-0.090151497,-0.144845455,0,1
0.415427844,-0.02938,0,1
0.114110679,0.168883636,0,1
-0.320403293,0.229698182,0,1
-0.268424052,-0.059581818,0,1
0.066598403,0.080332727,0,1
0.258271856,0.125327273,0,1
0.057664471,0.094714545,0,1
-0.304971956,0.115054545,0,1
-0.252180539,-0.230930909,0,1
0.248931836,0.230930909,0,1
0.415833932,0.242230909,0,1
-0.047106188,-0.211618182,0,1
-0.311063273,-0.027736364,0,1
0.148628144,0.227643636,0,1
0.514107186,0.077250909,0,1
0.05604012,0.04294,0,1
-0.233906587,0.145872727,0,1
0.098679341,-0.00226,0,1
0.301723253,-0.008012727,0,1
-0.050760978,-0.174225455,0,1
-0.337052894,-0.102521818,0,1
-0.089339321,-0.023627273,0,1
0.081623653,-0.156350909,0,1
-0.064567964,0.095125455,0,1
-0.206292615,0.115670909,0,1
0.241622255,0.159843636,0,1
0.49096018,0.122245455,0,1
0.085278443,0.129436364,0,1
-0.605883034,0.249216364,0,1
-0.719993713,0.046843636,0,1
0.527508084,-0.02712,0,1
0.866591417,-0.200729091,0,1
-0.663141417,-0.206892727,0,1
-1.250344411,-0.023421818,0,1
0.242028343,0.187990909,0,1
0.838165269,0.149981818,0,1
-0.797150399,-0.104576364,0,1
-1.535011976,-0.080743636,0,1
